b'Atmautluak',b'United States',ATT,,4A2
b'Atkamba Mission',b'Papua New Guinea',ABP,,
b'Andorra La Vella',b'Andorra',ALV,,
b'Andekombe',b'Papua New Guinea',ADC,AYAN,
b'Aseki',b'Papua New Guinea',AEK,,
b'',b'Papua New Guinea',AFR,,
b'Bila',b'Solomon Islands',AFT,AGAF,
b'Atoifi',b'Solomon Islands',ATD,AGAT,
b'Angoram',b'Papua New Guinea',AGG,,
b'',b'Solomon Islands',AVU,AGGJ,
b'Kagua',b'Papua New Guinea',AGK,,
b'',b'Papua New Guinea',AGL,AYWG,
b'Ambatolahy',b'Madagascar',AHY,,
b'Aiome',b'Papua New Guinea',AIE,AYAO,
b'Aiambak',b'Papua New Guinea',AIH,,
b'Bigatyelang Island',b'Marshall Islands',AIP,,
b'Amook Bay',b'United States',AOS,,AK81
b'ZaKouma',b'Chad',AKM,,
b'Lazy Bay',b'United States',ALZ,,
b'Alto Molocue',b'Mozambique',AME,,
b'',b'Papua New Guinea',AMF,,
b'Amanab',b'Papua New Guinea',AMU,AYAM,
b'',b'Madagascar',AMY,,
b'Anhua Island',b'Solomon Islands',ANH,,
b'',b'Angola',ANL,,
b'',b'Papua New Guinea',AOB,,
b'',b'Papua New Guinea',APP,,
b'April River',b'Papua New Guinea',APR,,
b'Girdwood',b'United States',AQY,,AQY
b'',b'Papua New Guinea',ARP,,
b'Asbury Park',b'United States',ARX,,
b'',b'Papua New Guinea',ASZ,,
b'Namatanai',b'Papua New Guinea',ATN,,
b'Aitape',b'Papua New Guinea',ATP,AYAI,
b'Agnew',b'Australia',AGW,,
b'Alroy Downs',b'Australia',AYD,,
b'Aua Island',b'Papua New Guinea',AUI,,
b'Ambunti',b'Papua New Guinea',AUJ,AYAT,
b'',b'Papua New Guinea',AUP,,
b'Aumo',b'Papua New Guinea',AUV,,
b'Wonga Wongue Reserve',b'Gabon',AWE,,
b'Aiyura Valley',b'Papua New Guinea',AYU,AYAY,
b'',b'Papua New Guinea',AZB,,
b'Tasiilaq',b'Greenland',AGM,BGAM,
b'Akureyri',b'Iceland',AEY,BIAR,
b'Alenquer',b'Brazil',ALT,,
b'Altay',b'China',AAT,ZWAT,
b'Apartad\xc3\xb3',b'Colombia',APO,,
b'Arauquita',b'Colombia',ARQ,,
b'Akulivik',b'Canada',AKV,CYKO,
b'Algiers',b'Algeria',ALG,DAAG,
b'Annabah',b'Algeria',AAE,DABB,
b'',b'Algeria',AZR,DAUA,
b'Arly',b'Burkina Faso',ARL,DFER,
b'Accra',b'Ghana',ACC,DGAA,
b'Abidjan',"b""C\xc3\xb4te d'Ivoire""",ABJ,DIAP,
b'Yamoussoukro',"b""C\xc3\xb4te d'Ivoire""",ASK,DIYO,
b'Abuja',b'Nigeria',ABV,DNAA,
b'Akure',b'Nigeria',AKR,DNAK,
b'Asaba',b'Nigeria',ABB,DNAS,
b'Agadez',b'Niger',AJY,DRZA,
b'Antwerp',b'Belgium',ANR,EBAW,
b'Altenburg',b'Germany',AOC,EDAC,
b'Aachen',b'Germany',AAH,EDKA,
b'Augsburg',b'Germany',AGB,EDMA,
